postać_A,postać_B,siła
DJANGO,MOGUY,5
CALVIN CANDIE,DJANGO,5
CALVIN CANDIE,CALVIN CANDLE,5
DJANGO,STEPHEN,5
CALVIN CANDIE,MOGUY,4
ACE WOODY,DJANGO,4
CALVIN CANDIE,STEPHEN,4
DJANGO,LARA LEE,4
DJANGO,TIMMY,4
BROOMHILDA,DJANGO,4
SPENCER,SPENCER BENNETT,3
DJANGO,SPENCER,3
DJANGO,RODNEY,3
CALVIN CANDIE,LARA LEE,3
CALVIN CANDLE,STEPHEN,3
LARA LEE,STEPHEN,3
BROOMHILDA,LARA LEE,3
BROOMHILDA,STEPHEN,3
DJANGO,ROY,3
BETINA,SPENCER,2
BETINA,DJANGO,2
DJANGO,LITTLE RAJ,2
LITTLE RAJ,SPENCER,2
DJANGO,SCHULTZ,2
BROOMHILDA,NARRATOR,2
NARRATOR,SCOTTY,2
CALVIN CANDIE,NARRATOR,2
CALVIN CANDLE,DJANGO,2
ACE WOODY,LARA LEE,2
ACE WOODY,STEPHEN,2
ACE WOODY,TIMMY,2
CALVIN CANDLE,LARA LEE,2
LARA LEE,MOGUY,2
MOGUY,STEPHEN,2
STEPHEN,TIMMY,2
CHESTER,CHICKEN CHARLY,2
CHESTER,DJANGO,2
CHESTER,FLOYD,2
CHESTER,RODNEY,2
CHESTER,ROY,2
CHICKEN CHARLY,DJANGO,2
CHICKEN CHARLY,FLOYD,2
CHICKEN CHARLY,RODNEY,2
CHICKEN CHARLY,ROY,2
DJANGO,FLOYD,2
DJANGO,JANO,2
FLOYD,RODNEY,2
FLOYD,ROY,2
JANO,ROY,2
RODNEY,ROY,2
ACE SPEC,ACE SPECK,1
ACE SPEC,DICKY SPECK,1
ACE SPEC,DJANGO,1
ACE SPECK,DICKY SPECK,1
ACE SPECK,DJANGO,1
DICKY SPECK,DJANGO,1
DJANGO,TEXAS,1
DJANGO,MARSHALL,1
DJANGO,MARSHALL TATUM,1
MARSHALL,MARSHALL TATUM,1
BETINA,SPENCER BENNETT,1
BETINA,KNEELING DJANGO,1
BETINA,LITTLE RAJ,1
BETINA,SPYGLASS POV,1
DJANGO,KNEELING DJANGO,1
DJANGO,SPYGLASS POV,1
KNEELING DJANGO,LITTLE RAJ,1
KNEELING DJANGO,SPENCER,1
KNEELING DJANGO,SPYGLASS POV,1
LITTLE RAJ,SPYGLASS POV,1
SPENCER,SPYGLASS POV,1
BENNETT,BIG JOHN,1
BENNETT,DJANGO,1
BENNETT,LITTLE RAJ,1
BENNETT,SCHULTZ,1
BENNETT,SPENCER,1
BIG JOHN,DJANGO,1
BIG JOHN,LITTLE RAJ,1
BIG JOHN,SCHULTZ,1
BIG JOHN,SPENCER,1
LITTLE RAJ,SCHULTZ,1
SCHULTZ,SPENCER,1
BRADSHAW,DOUG,1
BRADSHAW,RANDY,1
BRADSHAW,REDFISH,1
BRADSHAW,ROBERT,1
BRADSHAW,SPENCER,1
BRADSHAW,SPENCER BENNETT,1
BRADSHAW,TERRY,1
BRADSHAW,WILLARD,1
DOUG,RANDY,1
DOUG,REDFISH,1
DOUG,ROBERT,1
DOUG,SPENCER,1
DOUG,SPENCER BENNETT,1
DOUG,TERRY,1
DOUG,WILLARD,1
RANDY,REDFISH,1
RANDY,ROBERT,1
RANDY,SPENCER,1
RANDY,SPENCER BENNETT,1
RANDY,TERRY,1
RANDY,WILLARD,1
REDFISH,ROBERT,1
REDFISH,SPENCER,1
REDFISH,SPENCER BENNETT,1
REDFISH,TERRY,1
REDFISH,WILLARD,1
ROBERT,SPENCER,1
ROBERT,SPENCER BENNETT,1
ROBERT,TERRY,1
ROBERT,WILLARD,1
SPENCER,TERRY,1
SPENCER,WILLARD,1
SPENCER BENNETT,TERRY,1
SPENCER BENNETT,WILLARD,1
TERRY,WILLARD,1
DJANGO,SPENCER BENNETT,1
DJANGO,TWO SHOT,1
SPENCER,TWO SHOT,1
SPENCER BENNETT,TWO SHOT,1
DJANGO,WE SEE,1
DJANGO,MISSISSIPPI,1
BELOW,DJANGO,1
BELOW,GREENVILLE,1
BELOW,I F,1
BELOW,JUDD,1
BELOW,RUSS,1
DJANGO,GREENVILLE,1
DJANGO,I F,1
DJANGO,JUDD,1
DJANGO,RUSS,1
GREENVILLE,I F,1
GREENVILLE,JUDD,1
GREENVILLE,RUSS,1
I F,JUDD,1
I F,RUSS,1
JUDD,RUSS,1
BROOMHILDA,SCOTTY,1
BROOMHILDA,UGLIER MAN,1
BROOMHILDA,UGLY MAN,1
NARRATOR,UGLIER MAN,1
NARRATOR,UGLY MAN,1
SCOTTY,UGLIER MAN,1
SCOTTY,UGLY MAN,1
UGLIER MAN,UGLY MAN,1
CALVIN CANDIE,CANDIE,1
CALVIN CANDIE,PLAYER,1
CALVIN CANDIE,SCOTTY,1
CANDIE,NARRATOR,1
CANDIE,PLAYER,1
CANDIE,SCOTTY,1
NARRATOR,PLAYER,1
PLAYER,SCOTTY,1
CLEO,FRENCH MAID,1
CLEO,HOSTESS,1
CLEO,REFINED,1
FRENCH MAID,HOSTESS,1
FRENCH MAID,REFINED,1
HOSTESS,REFINED,1
COCO CHIRPS,DJANGO,1
COCO CHIRPS,MOGUY,1
COCO CHIRPS,SAY,1
DJANGO,SAY,1
MOGUY,SAY,1
AMERIGO,BARTENDER,1
AMERIGO,BARTHOLOMEW,1
AMERIGO,CALVIN CANDIE,1
AMERIGO,COCO,1
AMERIGO,DJANGO,1
AMERIGO,MOGUY,1
AMERIGO,SCHULTZ,1
AMERIGO,SHEBA,1
AMERIGO,WE CUT,1
BARTENDER,BARTHOLOMEW,1
BARTENDER,CALVIN CANDIE,1
BARTENDER,COCO,1
BARTENDER,DJANGO,1
BARTENDER,MOGUY,1
BARTENDER,SCHULTZ,1
BARTENDER,SHEBA,1
BARTENDER,WE CUT,1
BARTHOLOMEW,CALVIN CANDIE,1
BARTHOLOMEW,COCO,1
BARTHOLOMEW,DJANGO,1
BARTHOLOMEW,MOGUY,1
BARTHOLOMEW,SCHULTZ,1
BARTHOLOMEW,SHEBA,1
BARTHOLOMEW,WE CUT,1
CALVIN CANDIE,COCO,1
CALVIN CANDIE,SCHULTZ,1
CALVIN CANDIE,SHEBA,1
CALVIN CANDIE,WE CUT,1
COCO,DJANGO,1
COCO,MOGUY,1
COCO,SCHULTZ,1
COCO,SHEBA,1
COCO,WE CUT,1
DJANGO,SHEBA,1
DJANGO,WE CUT,1
MOGUY,SCHULTZ,1
MOGUY,SHEBA,1
MOGUY,WE CUT,1
SCHULTZ,SHEBA,1
SCHULTZ,WE CUT,1
SHEBA,WE CUT,1
BILLY CRASH,CALVIN CANDIE,1
BILLY CRASH,CALVIN CANDLE,1
BILLY CRASH,DJANGO,1
BILLY CRASH,PTE,1
BILLY CRASH,RODNEY,1
BILLY CRASH,TWO MEN,1
CALVIN CANDIE,PTE,1
CALVIN CANDIE,RODNEY,1
CALVIN CANDIE,TWO MEN,1
CALVIN CANDLE,PTE,1
CALVIN CANDLE,RODNEY,1
CALVIN CANDLE,TWO MEN,1
DJANGO,PTE,1
DJANGO,TWO MEN,1
PTE,RODNEY,1
PTE,TWO MEN,1
RODNEY,TWO MEN,1
CALVIN CANDIE,O V,1
CALVIN CANDIE,TRACKERS,1
DJANGO,O V,1
DJANGO,TRACKERS,1
MOGUY,O V,1
MOGUY,TRACKERS,1
O V,TRACKERS,1
ACE WOODY,AND DJANGO,1
ACE WOODY,BIG FRED,1
ACE WOODY,CALVIN CANDIE,1
ACE WOODY,CALVIN CANDLE,1
ACE WOODY,FRED,1
ACE WOODY,MOGUY,1
ACE WOODY,SIDNEY JAMES,1
AND DJANGO,BIG FRED,1
AND DJANGO,CALVIN CANDIE,1
AND DJANGO,CALVIN CANDLE,1
AND DJANGO,DJANGO,1
AND DJANGO,FRED,1
AND DJANGO,LARA LEE,1
AND DJANGO,MOGUY,1
AND DJANGO,SIDNEY JAMES,1
AND DJANGO,STEPHEN,1
AND DJANGO,TIMMY,1
BIG FRED,CALVIN CANDIE,1
BIG FRED,CALVIN CANDLE,1
BIG FRED,DJANGO,1
BIG FRED,FRED,1
BIG FRED,LARA LEE,1
BIG FRED,MOGUY,1
BIG FRED,SIDNEY JAMES,1
BIG FRED,STEPHEN,1
BIG FRED,TIMMY,1
CALVIN CANDIE,FRED,1
CALVIN CANDIE,SIDNEY JAMES,1
CALVIN CANDIE,TIMMY,1
CALVIN CANDLE,FRED,1
CALVIN CANDLE,MOGUY,1
CALVIN CANDLE,SIDNEY JAMES,1
CALVIN CANDLE,TIMMY,1
DJANGO,FRED,1
DJANGO,SIDNEY JAMES,1
FRED,LARA LEE,1
FRED,MOGUY,1
FRED,SIDNEY JAMES,1
FRED,STEPHEN,1
FRED,TIMMY,1
LARA LEE,SIDNEY JAMES,1
LARA LEE,TIMMY,1
MOGUY,SIDNEY JAMES,1
MOGUY,TIMMY,1
SIDNEY JAMES,STEPHEN,1
SIDNEY JAMES,TIMMY,1
BROOMHILDA,DOG,1
DOG,LARA LEE,1
BROOMHILDA,CALVIN CANDIE,1
BROOMHILDA,MOGUY,1
BROOMBILDA,BROOMHILDA,1
BROOMBILDA,STEPHEN,1
CALVIN CANDIE,SEEING HIM,1
CALVIN CANDLE,SEEING HIM,1
LARA LEE,SEEING HIM,1
SEEING HIM,STEPHEN,1
CALVIN CANDIE,CANDLE,1
CALVIN CANDLE,CANDLE,1
ACE WOODY,DJANGO SCREAMS,1
ACE WOODY,IJS,1
DJANGO,DJANGO SCREAMS,1
DJANGO,IJS,1
DJANGO SCREAMS,IJS,1
DJANGO SCREAMS,STEPHEN,1
DJANGO SCREAMS,TIMMY,1
IJS,STEPHEN,1
IJS,TIMMY,1
ACE WOODY,CHESTER,1
ACE WOODY,CHICKEN CHARLY,1
ACE WOODY,FLOYD,1
ACE WOODY,JANO,1
ACE WOODY,RODNEY,1
ACE WOODY,ROY,1
CHESTER,JANO,1
CHICKEN CHARLY,JANO,1
FLOYD,JANO,1
JANO,RODNEY,1
CHESTER,CORA,1
CHESTER,LARA LEE,1
CHICKEN CHARLY,CORA,1
CHICKEN CHARLY,LARA LEE,1
CORA,DJANGO,1
CORA,FLOYD,1
CORA,LARA LEE,1
CORA,RODNEY,1
CORA,ROY,1
FLOYD,LARA LEE,1
LARA LEE,RODNEY,1
LARA LEE,ROY,1
MARSHA,SHIRTLESS DJANGO,1
BILLY CRASH,BROOMHILDA,1
BILLY CRASH,CU BROOMHILDA,1
BROOMHILDA,CU BROOMHILDA,1
ACE WOODY,BROOMHILDA,1
ACE WOODY,BROWN,1
ACE WOODY,BROWN CODY,1
ACE WOODY,ICZ,1
ACE WOODY,STEPHEN MOGUY,1
BROOMHILDA,BROWN,1
BROOMHILDA,BROWN CODY,1
BROOMHILDA,ICZ,1
BROOMHILDA,STEPHEN MOGUY,1
BROWN,BROWN CODY,1
BROWN,DJANGO,1
BROWN,ICZ,1
BROWN,LARA LEE,1
BROWN,STEPHEN MOGUY,1
BROWN CODY,DJANGO,1
BROWN CODY,ICZ,1
BROWN CODY,LARA LEE,1
BROWN CODY,STEPHEN MOGUY,1
DJANGO,ICZ,1
DJANGO,STEPHEN MOGUY,1
ICZ,LARA LEE,1
ICZ,STEPHEN MOGUY,1
LARA LEE,STEPHEN MOGUY,1
